Id,Title,Episodes,Year,Original channel,American company,Note,Technique,IMDb,Google users,wiki_title,wiki_short_description,wiki_summary,wiki_url,wiki_status
36,Adventures of Pow Wow,45.0,1956-1957,Syndication,Tempe-Toons,,Traditional,4.7,74%,Adventures of Pow Wow,American animated cartoon,Adventures of Pow Wow is an American animated cartoon that was broadcast on the Captain Kangaroo show during the 1950s. The series is in the public domain due to failure in copyright renewal.,https://en.wikipedia.org/wiki/Adventures_of_Pow_Wow,success
37,The Adventures of Puss in Boots,78.0,2015-2018,Netflix,DreamWorks Animation Television,,CGI,6.5,79%,The Adventures of Puss in Boots,American animated series,"The Adventures of Puss in Boots is an American animated television series, starring the character of Puss in Boots from DreamWorks Animation's Shrek film series and its 2011 spin-off film, voiced by Eric Bauza. The series premiered with its first five episodes on Netflix on January 16, 2015; the sixth and final season was released on January 26, 2018.",https://en.wikipedia.org/wiki/The_Adventures_of_Puss_in_Boots,success
38,The Adventures of Raggedy Ann and Andy,13.0,1988,CBS,CBS Entertainment Productions,,Traditional,7.2,92%,The Adventures of Raggedy Ann and Andy,1988 American TV series or program,"The Adventures of Raggedy Ann and Andy is an American animated television series that aired on CBS from September 17 to December 24, 1988. Based on the dolls Raggedy Ann and Andy by Johnny Gruelle, the series was produced directly by CBS in honor of the 70th anniversary of the characters. The series was cancelled in 1989, although CBS aired reruns during the 1989–90 television season, and in August 1991 when Pee-Wee's Playhouse was shelved.",https://en.wikipedia.org/wiki/The_Adventures_of_Raggedy_Ann_and_Andy,success
39,The Adventures of Rocky and Bullwinkle,26.0,2018-2019,Amazon Prime Video,DreamWorks Animation Television,,Flash,4.3,69%,The Adventures of Rocky and Bullwinkle,Topics referred to by the same term,The Adventures of Rocky and Bullwinkle may refer to:,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle,success
40,The Adventures of Rocky and Bullwinkle and Friends,163.0,1959-1964,ABCNBC,Jay Ward Productions,,Traditional,7.8,92%,The Adventures of Rocky and Bullwinkle and Friends,American animated television series,"The Adventures of Rocky and Bullwinkle and Friends is an American animated television series that originally aired from November 19, 1959, to June 27, 1964, on the ABC and NBC television networks. Produced by Jay Ward Productions, the series is structured as a variety show, with the main feature being the serialized adventures of the two title characters, the anthropomorphic flying squirrel Rocket J. (""Rocky"") Squirrel and moose Bullwinkle J. Moose. The main antagonists in most of their adventures are the two Russian-like spies Boris Badenov and Natasha Fatale, both working for the Nazi-like dictator Fearless Leader. Supporting segments include ""Dudley Do-Right"", ""Peabody's Improbable History"", and ""Fractured Fairy Tales"", among others.",https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle_and_Friends,success
41,Adventures of Sonic the Hedgehog,65.0,1992-1996,Syndication,DIC Entertainment,,Traditional,6.3,77%,Adventures of Sonic the Hedgehog,Animated television series,"Adventures of Sonic the Hedgehog is an American animated television series. It is based on the Sonic the Hedgehog video game series, produced by Sega of America, DIC Animation City, Bohbot Entertainment and the Italian studio Reteitalia S.p.A. in association with Spanish network Telecinco. The show aired a total of 65 episodes from September 6 to December 3, 1993. It was syndicated by Bohbot Entertainment in the United States. The show features Jaleel White as the voice of Sonic the Hedgehog, a fast and wisecracking blue hedgehog, and his companion Tails, a young two-tailed fox. Set in the franchise's main world of Mobius, the cartoon mainly follows the pair's comedic adventures against the series' antagonist Doctor Ivo Robotnik, and his minions Scratch and Grounder.",https://en.wikipedia.org/wiki/Adventures_of_Sonic_the_Hedgehog,success
42,The Adventures of Spunky and Tadpole,150.0,1958-1961,Syndication,Beverly Hills Productions,,Traditional,6.2,92%,The Adventures of Spunky and Tadpole,1958 American TV series or program,"The Adventures of Spunky and Tadpole is an animated television series produced by Beverly Hills Productions and syndicated beginning on September 6, 1958. The show's characters were a boy and a bear who hunted down bad guys. The show was made in three and a half-minute episodes, with ten parts comprising each story. It was most frequently shown one episode a day as part of a local station's afternoon children's programming. The show remained in production until September 9, 1961, airing 150 episodes.",https://en.wikipedia.org/wiki/The_Adventures_of_Spunky_and_Tadpole,success
43,The Adventures of Superboy,34.0,1966-1968,CBS,Filmation,,Traditional,6.0,62%,The Adventures of Superboy,American TV series or program,"The Adventures of Superboy is a proposed TV series that was put into production in 1961. It was meant to capitalize on the success of Adventures of Superman, which went out of production in 1958. Only a pilot episode was produced, although 12 additional scripts had been prepared, had the series been picked up.",https://en.wikipedia.org/wiki/The_Adventures_of_Superboy,success
44,Adventures of the Gummi Bears,65.0,1985-1991,NBC,Walt Disney Television Animation,,Traditional,7.5,90%,Adventures of the Gummi Bears,American animated television series,"Adventures of the Gummi Bears is an American animated high fantasy television series created by Jymn Magon and produced by Walt Disney Television Animation. The series, loosely inspired by gummy bear candies, takes place in a fantasy world of medieval lands and magic, and focuses on the lives of six mystical beings known as Gummi Bears. The series focuses on the exploits of the main characters, as they tackle a series of problems, as well as aid their human friends and thwart the plans of various evil characters. Episodes consisted of either a single story, or two 11-minute stories.",https://en.wikipedia.org/wiki/Adventures_of_the_Gummi_Bears,success
45,AEon Flux,16.0,1991-1995,MTV,MTV Animation,,Traditional,5.4,62%,Æon Flux,American science fiction animated TV series (1991–1995),"Æon Flux is an American adult animated avant-garde science-fiction adventure television series that aired on MTV from November 30, 1991 until October 10, 1995. It premiered on MTV's Liquid Television experimental animation show as a six-part serial, followed in 1992 by five individual short episodes. In 1995, a season of ten half-hour episodes aired as a stand-alone series. Æon Flux was created by American animator Peter Chung. Each episode's plot has elements of social science fiction, biopunk, dystopian fiction, spy fiction, psychological drama, postmodern and psychedelic imagery, and Gnostic symbolism.",https://en.wikipedia.org/wiki/%C3%86on_Flux,success
46,Agent Elvis,10.0,2023,Netflix,Sony Pictures Animation,,Traditional,6.8,84%,Agent Elvis,American adult animated sitcom television series,"Agent Elvis is an American adult animated television series created by Priscilla Presley, the ex-wife of American singer Elvis Presley, and singer-screenwriter John Eddie, and developed by Mike Arnold and Eddie for Netflix.",https://en.wikipedia.org/wiki/Agent_Elvis,success
47,Alabama Jackson,7.0,2022,YouTube,Stoopid Buddy Stoodios,,Stop-Motion,8.4,89%,,,,,failed_404
48,Aladdin,86.0,1994-1995,CBS,Walt Disney Television Animation,,Traditional,5.8,78%,Aladdin,Middle-Eastern folk tale,"Aladdin is a Middle-Eastern folk tale. It is one of the best-known tales associated with One Thousand and One Nights, despite not being part of the original text; it was added by the Frenchman Antoine Galland, based on a folk tale that he heard from the Syrian storyteller Hanna Diyab.",https://en.wikipedia.org/wiki/Aladdin,success
49,ALF Tales,21.0,1988-1989,NBC,DIC Entertainment,,Traditional,6.2,84%,ALF Tales,American animated series,"ALF Tales is a 30-minute Saturday morning animated series that aired on NBC from September 10, 1988, to December 9, 1989. The show is a spin-off of ALF: The Animated Series that featured characters from that series playing various characters from fairy tales. The fairy tale parody was usually altered for comedic effect in a manner akin to Jay Ward's ""Fractured Fairy Tales"".",https://en.wikipedia.org/wiki/ALF_Tales,success
50,ALF: The Animated Series,26.0,1987-1989,NBC,DIC Entertainment,,Traditional,6.0,85%,ALF: The Animated Series,1987 American TV series or program,"ALF: The Animated Series is an American animated television series that aired on NBC for 26 episodes from September 26, 1987, to January 7, 1989.",https://en.wikipedia.org/wiki/ALF%3A_The_Animated_Series,success
51,Alice's Wonderland Bakery,34.0,2022-present,Disney Junior,Disney Television Animation,,CGI,6.3,61%,Alice's Wonderland Bakery,American animated television series,"Alice's Wonderland Bakery is an American animated television series created for Disney Junior by Chelsea Beyl, inspired by Alice in Wonderland (1951). The series centers on Alice, a young baker who works at the Wonderland Bakery and is the great-granddaughter of the original Alice. Rosa—the Princess of Hearts—, Hattie, and Fergie the white rabbit accompany her on her culinary explorations throughout the kingdom. The show intends to highlight the importance of food, which is used as a form of self-expression and creativity. Libby Rue, Abigail Estrella, CJ Uy, Jack Stanton, Secunda Wood, and Audrey Wasilewski voice the primary characters.",https://en.wikipedia.org/wiki/Alice's_Wonderland_Bakery,success
52,Alien: Isolation - The Digital Series,7.0,2019,IGN,Reverse Engineering Studios,,CGI,6.2,74%,Alien: Isolation – The Digital Series,American animated science fiction horror streaming television series,"Alien: Isolation – The Digital Series is an American adult animated science fiction horror web series directed by Fabien Dubois, based on the Alien franchise created by Dan O'Bannon and Ronald Shusett, and the 2014 video game of the same name by Creative Assembly, that premiered on February 28, 2019, on IGN. The series was created by Kinga Smith and Fabien Dubois and features most of the actors from the game reprising their roles. It takes place fifteen years after the events of Alien and follows Amanda Ripley, daughter of Alien protagonist Ellen Ripley, as she investigates the disappearance of her mother aboard a decaying space station.",https://en.wikipedia.org/wiki/Alien%3A_Isolation_%E2%80%93_The_Digital_Series,success
53,Alien News Desk,12.0,2019,Syfy,Broadway Video,,Traditional,6.5,76%,Alien News Desk,2019 American TV series or program,"Alien News Desk is an American adult animated television series created by Chris Prynoski and Austin Reading. The series stars Will Forte and Heidi Gardner. The series premiered on Syfy on February 27, 2019.",https://en.wikipedia.org/wiki/Alien_News_Desk,success
54,All Dogs Go to Heaven: The Series,40.0,1996-1998,Fox Family Channel,MGM Animation,,Traditional,6.5,85%,All Dogs Go to Heaven: The Series,Television series,"All Dogs Go to Heaven: The Series is an American animated sitcom, which aired from 1996 to 1998 in syndication and on Fox Family from 1998 to 1999 with 40 half-hour episodes produced in total. Don Bluth's 1989 animated feature All Dogs Go to Heaven featured a disreputable mongrel named Charlie who died, went to heaven, escaped back to Earth for vengeance on his murderer and then found redemption with the help of a young orphan girl named Anne-Marie. It spawned a 1996 sequel, All Dogs Go to Heaven 2. The series takes place after the second film.",https://en.wikipedia.org/wiki/All_Dogs_Go_to_Heaven%3A_The_Series,success
